,除權除息日期,股票代號,名稱,除權息,無償配股率,現金增資配股率,現金增資認購價,現金股利,詳細資料,參考價試算,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘
176,112年07月13日,6754,匯僑設計,息,0.00000000,0.00000000,0.00000000,3.70000000,"6754,20230713",",3.70000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),29.73,0.57
177,112年06月28日,6768,志強-KY,息,0.00000000,0.00000000,0.00000000,5.00000000,"6768,20230628",",5.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),72.14,0.23
178,112年06月29日,6789,采鈺,息,0.00000000,0.00000000,0.00000000,1.99818800,"6789,20230629",",1.99818800,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),53.75,0.24
179,112年06月21日,6830,汎銓,息,0.00000000,0.00000000,0.00000000,5.50000000,"6830,20230621",",5.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),55.84,0.77
180,112年06月19日,6834,天二科技,息,0.00000000,0.00000000,0.00000000,1.10000000,"6834,20230619",",1.10000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),17.82,-0.40
181,112年07月03日,6835,圓裕,息,0.00000000,0.00000000,0.00000000,2.00000000,"6835,20230703",",2.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),21.86,0.57
182,112年06月15日,8046,南電,息,0.00000000,0.00000000,0.00000000,18.00000000,"8046,20230615",",18.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),68.89,3.60
183,112年06月15日,8070,長華*,息,0.00000000,0.00000000,0.00000000,1.80000000,"8070,20230615",",1.80000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),18.14,0.31
184,112年06月29日,8150,南茂,息,0.00000000,0.00000000,0.00000000,2.30000000,"8150,20230629",",2.30000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),34.44,0.28
185,112年07月11日,8163,達方,息,0.00000000,0.00000000,0.00000000,3.00000000,"8163,20230711",",3.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),35.59,0.51
