,除權除息日期,股票代號,名稱,除權息,無償配股率,現金增資配股率,現金增資認購價,現金股利,詳細資料,參考價試算,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘
56,112年06月27日,2303,聯電,息,0.00000000,0.00000000,0.00000000,3.60046300,"2303,20230627",",3.60046300,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),28.41,1.31
57,179906年06月28日,2312,金寶,息,0.00000000,0.00000000,0.00000000,0.29981000,"2312,20230628",",0.29981000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),12.09,0.17
58,112年07月04日,2317,鴻海,息,0.00000000,0.00000000,0.00000000,5.30000000,"2317,20230704",",5.30000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),101.06,0.93
59,106年12月18日,2329,華泰,息,0.00000000,0.00000000,0.00000000,0.85000000,"2329,20230629",",0.85000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),13.80,0.25
60,113年06月15日,2330,台積電,息,0.00000000,0.00000000,0.00000000,2.74982000,"2330,20230615",",2.74982000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),118.70,7.98
61,-1893年06月20日,2337,旺宏,息,0.00000000,0.00000000,0.00000000,1.80000000,"2337,20230620",",1.80000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),28.38,-0.19
62,112年06月29日,2353,宏碁,息,0.00000000,0.00000000,0.00000000,1.50000000,"2353,20230629",",1.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),21.05,0.17
63,112年07月04日,2357,華碩,息,0.00000000,0.00000000,0.00000000,15.00000000,"2357,20230704",",15.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),295.02,-2.26
64,112年07月10日,2359,所羅門,息,0.00000000,0.00000000,0.00000000,1.50000000,"2359,20230710",",1.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),27.38,0.22
65,112年06月20日,2362,藍天,息,0.00000000,0.00000000,0.00000000,1.50000000,"2362,20230620",",1.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),70.89,0.62
66,-1893年07月31日,2369,菱生,息,0.00000000,0.00000000,0.00000000,0.30000000,"2369,20230731",",0.30000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),15.01,-0.25
67,112年06月16日,2385,群光,息,0.00000000,0.00000000,0.00000000,7.50000000,"2385,20230616",",7.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),45.13,2.05
68,112年06月16日,2388,威盛,息,0.00000000,0.00000000,0.00000000,0.15000000,"2388,20230616",",0.15000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),25.83,-0.16
69,112年07月04日,2395,研華,權息,0.09987715,0.00000000,0.00000000,9.98771500,"2395,20230704",",9.98771500,0.09987715,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),50.43,3.80
70,112年06月28日,2408,南亞科,息,0.00000000,0.00000000,0.00000000,2.13036300,"2408,20230628",",2.13036300,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),55.62,-0.54
71,112年06月29日,2412,中華電,息,0.00000000,0.00000000,0.00000000,4.70200000,"2412,20230629",",4.70200000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),50.45,1.24
72,112年07月03日,2415,錩新,息,0.00000000,0.00000000,0.00000000,0.65000000,"2415,20230703",",0.65000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),18.10,-0.18
73,112年06月20日,2423,固緯,息,0.00000000,0.00000000,0.00000000,2.00000000,"2423,20230620",",2.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),16.76,0.56
74,112年06月20日,2436,偉詮電,息,0.00000000,0.00000000,0.00000000,1.20000000,"2436,20230620",",1.20000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),18.63,0.21
75,112年06月20日,2450,神腦,息,0.00000000,0.00000000,0.00000000,2.20000000,"2450,20230620",",2.20000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),22.98,0.76
76,112年06月20日,2454,聯發科,息,0.00000000,0.00000000,0.00000000,76.00660600,"2454,20230620",",76.00660600,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),211.37,10.64
77,-1893年06月26日,2455,全新,息,0.00000000,0.00000000,0.00000000,2.30000000,"2455,20230626",",2.30000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),16.73,0.06
78,112年06月20日,2461,光群雷,息,0.00000000,0.00000000,0.00000000,1.47854900,"2461,20230620",",1.47854900,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),17.36,0.34
79,106年12月18日,2464,盟立,息,0.00000000,0.00000000,0.00000000,1.80000000,"2464,20230703",",1.80000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),20.45,0.05
80,-1882年12月18日,2474,可成,息,0.00000000,0.00000000,0.00000000,10.00000000,"2474,20230629",",10.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),236.42,1.25
81,112年06月15日,2480,敦陽科,息,0.00000000,0.00000000,0.00000000,6.26000000,"2480,20230615",",6.26000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),25.31,1.99
82,112年06月14日,2486,一詮,息,0.00000000,0.00000000,0.00000000,0.40000000,"2486,20230614",",0.40000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),18.55,0.08
83,-694年06月20日,2504,國產,息,0.00000000,0.00000000,0.00000000,2.00000000,"2504,20230620",",2.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),20.64,0.72
84,112年06月29日,2506,太設,息,0.00000000,0.00000000,0.00000000,0.20000000,"2506,20230629",",0.20000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),20.14,0.13
85,-1893年07月04日,2538,基泰,息,0.00000000,0.00000000,0.00000000,0.50000000,"2538,20230704",",0.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),14.73,1.44
86,112年06月26日,2545,皇翔,息,0.00000000,0.00000000,0.00000000,4.60000000,"2545,20230626",",4.60000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),37.13,-0.18
87,112年06月30日,2603,長榮,息,0.00000000,0.00000000,0.00000000,70.00000000,"2603,20230630",",70.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),261.66,2.38
88,-1882年12月18日,2605,新興,息,0.00000000,0.00000000,0.00000000,0.50000000,"2605,20230629",",0.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),26.49,0.21
89,112年07月04日,2609,陽明,息,0.00000000,0.00000000,0.00000000,20.00000000,"2609,20230704",",20.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),99.02,0.97
90,112年07月03日,2615,萬海,息,0.00000000,0.00000000,0.00000000,5.00000000,"2615,20230703",",5.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),79.13,-0.75
91,112年06月15日,2630,亞航,權,0.00000000,0.22359490,35.00000000,0.00000000,"2630,20230615",",0.00000000,0.00000000,0.22359490,35.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),11.53,0.02
92,112年07月11日,2634,漢翔,息,0.00000000,0.00000000,0.00000000,1.08000000,"2634,20230711",",1.08000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),17.38,0.58
93,112年12月20日,2707,晶華,息,0.00000000,0.00000000,0.00000000,9.00730000,"2707,20230620",",9.00730000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),27.76,2.84
94,112年06月29日,2722,夏都,權息,0.05999999,0.00000000,0.00000000,0.60000000,"2722,20230629",",0.60000000,0.05999999,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),18.04,0.20
95,112年06月16日,2723,美食-KY,息,0.00000000,0.00000000,0.00000000,2.50000000,"2723,20230616",",2.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),61.99,1.38
96,113年06月29日,2748,雲品,息,0.00000000,0.00000000,0.00000000,1.26599000,"2748,20230629",",1.26599000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),23.96,0.86
97,106年12月18日,2753,八方雲集,息,0.00000000,0.00000000,0.00000000,5.01059100,"2753,20230629",",5.01059100,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),46.37,2.00
98,106年12月18日,2855,統一證,息,0.00000000,0.00000000,0.00000000,0.39000000,"2855,20230620",",0.39000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),20.85,0.31
99,112年06月28日,2882,國泰金,息,0.00000000,0.00000000,0.00000000,0.90000000,"2882,20230628",",0.90000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),42.12,0.48
100,112年06月28日,2882A,國泰特,息,0.00000000,0.00000000,0.00000000,2.28000000,"2882A,20230628",",2.28000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),42.12,0.48
101,112年06月28日,2882B,國泰金乙特,息,0.00000000,0.00000000,0.00000000,2.13000000,"2882B,20230628",",2.13000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),42.12,0.48
102,106年06月29日,2885,元大金,息,0.00000000,0.00000000,0.00000000,0.80000000,"2885,20230629",",0.80000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),21.48,0.46
103,106年07月18日,2904,匯僑,息,0.00000000,0.00000000,0.00000000,0.65000000,"2904,20230706",",0.65000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),15.57,0.34
104,112年06月15日,2908,特力,息,0.00000000,0.00000000,0.00000000,1.27999900,"2908,20230615",",1.27999900,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),12.96,0.32
105,112年07月04日,3006,晶豪科,息,0.00000000,0.00000000,0.00000000,1.80000000,"3006,20230704",",1.80000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),40.95,-1.32
106,112年06月29日,3010,華立,息,0.00000000,0.00000000,0.00000000,6.10000000,"3010,20230629",",6.10000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),68.50,1.22
107,-1893年06月20日,3014,聯陽,息,0.00000000,0.00000000,0.00000000,6.00000000,"3014,20230620",",6.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),37.14,2.12
108,112年06月26日,3015,全漢,息,0.00000000,0.00000000,0.00000000,3.80000000,"3015,20230626",",3.80000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),71.92,0.45
109,106年06月30日,3019,亞光,息,0.00000000,0.00000000,0.00000000,1.90000000,"3019,20230630",",1.90000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),42.44,0.07
110,106年12月18日,3030,德律,息,0.00000000,0.00000000,0.00000000,4.50000000,"3030,20230615",",4.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),31.93,1.15
111,112年06月15日,3035,智原,息,0.00000000,0.00000000,0.00000000,5.00000000,"3035,20230615",",5.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),38.45,2.02
112,112年07月13日,3037,欣興,息,0.00000000,0.00000000,0.00000000,7.99298600,"3037,20230713",",7.99298600,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),62.58,2.70
113,112年06月29日,3040,遠見,息,0.00000000,0.00000000,0.00000000,2.00000000,"3040,20230629",",2.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),23.87,0.12
114,112年06月30日,3045,台灣大,息,0.00000000,0.00000000,0.00000000,4.30000000,"3045,20230630",",4.30000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),23.85,0.96
115,112年06月19日,3094,聯傑,息,0.00000000,0.00000000,0.00000000,1.00000000,"3094,20230619",",1.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),13.06,0.18
116,106年12月18日,3164,景岳,息,0.00000000,0.00000000,0.00000000,0.70000000,"3164,20230628",",0.70000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),15.09,0.10
117,-1904年06月18日,3305,昇貿,息,0.00000000,0.00000000,0.00000000,1.99108100,"3305,20230706",",1.99108100,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),36.74,0.31
118,112年06月27日,3338,泰碩,息,0.00000000,0.00000000,0.00000000,2.00000000,"3338,20230627",",2.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),21.55,0.30
119,112年06月30日,3416,融程電,息,0.00000000,0.00000000,0.00000000,4.76385400,"3416,20230630",",4.76385400,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),34.56,1.51
120,112年07月31日,3447,展達,息,0.00000000,0.00000000,0.00000000,2.30000000,"3447,20230731",",2.30000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),15.69,0.72
121,-1909年12月18日,3450,聯鈞,息,0.00000000,0.00000000,0.00000000,0.50000000,"3450,20230626",",0.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),26.96,-0.28
122,106年12月18日,3515,華擎,息,0.00000000,0.00000000,0.00000000,8.00055000,"3515,20230620",",8.00055000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),60.01,1.03
123,112年06月30日,3518,柏騰,息,0.00000000,0.00000000,0.00000000,0.50000000,"3518,20230630",",0.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),17.63,0.09
124,106年12月29日,3528,安馳,息,0.00000000,0.00000000,0.00000000,4.10000000,"3528,20230629",",4.10000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),26.56,0.80
125,111年12月03日,3545,敦泰,息,0.00000000,0.00000000,0.00000000,0.50315600,"3545,20230703",",0.50315600,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),41.89,0.25
126,112年06月26日,3557,嘉威,息,0.00000000,0.00000000,0.00000000,5.00000000,"3557,20230626",",5.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),26.89,2.00
127,-1893年06月19日,3583,辛耘,息,0.00000000,0.00000000,0.00000000,3.60000000,"3583,20230619",",3.60000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),43.19,1.81
128,112年06月29日,3592,瑞鼎,息,0.00000000,0.00000000,0.00000000,41.00000000,"3592,20230629",",41.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),132.39,2.21
129,112年06月27日,3669,圓展,息,0.00000000,0.00000000,0.00000000,1.43000000,"3669,20230627",",1.43000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),30.31,-0.22
130,-1893年06月16日,3679,新至陞,息,0.00000000,0.00000000,0.00000000,10.00000000,"3679,20230616",",10.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),74.23,0.28
131,112年06月30日,3703,欣陸,息,0.00000000,0.00000000,0.00000000,2.50000000,"3703,20230630",",2.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),29.83,0.26
132,112年06月20日,3705,永信,息,0.00000000,0.00000000,0.00000000,2.30000000,"3705,20230620",",2.30000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),25.21,0.65
133,112年06月28日,3708,上緯投控,息,0.00000000,0.00000000,0.00000000,4.99994500,"3708,20230628",",4.99994500,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),68.73,0.20
134,112年06月30日,3711,日月光投控,息,0.00000000,0.00000000,0.00000000,8.79316900,"3711,20230630",",8.79316900,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),62.93,1.36
135,112年06月15日,4133,亞諾法,息,0.00000000,0.00000000,0.00000000,0.80000000,"4133,20230615",",0.80000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),20.70,0.18
136,112年06月30日,4137,麗豐-KY,息,0.00000000,0.00000000,0.00000000,7.00000000,"4137,20230630",",7.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),63.94,5.03
137,112年06月27日,4557,永新-KY,息,0.00000000,0.00000000,0.00000000,7.00000000,"4557,20230627",",7.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),49.39,1.40
138,112年06月21日,4766,南寶,息,0.00000000,0.00000000,0.00000000,10.00000000,"4766,20230621",",10.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),111.10,5.90
139,112年07月05日,4904,遠傳,息,0.00000000,0.00000000,0.00000000,3.25000000,"4904,20230705",",3.25000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),20.31,0.85
140,112年06月14日,4906,正文,息,0.00000000,0.00000000,0.00000000,1.50000000,"4906,20230614",",1.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),34.06,0.16
141,112年07月04日,4915,致伸,息,0.00000000,0.00000000,0.00000000,3.90055600,"4915,20230704",",3.90055600,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),37.05,1.23
142,112年06月30日,4916,事欣科,息,0.00000000,0.00000000,0.00000000,0.37628400,"4916,20230630",",0.37628400,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),18.61,0.31
143,112年06月30日,4952,凌通,息,0.00000000,0.00000000,0.00000000,5.00000000,"4952,20230630",",5.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),23.29,0.29
144,112年06月27日,4961,天鈺,息,0.00000000,0.00000000,0.00000000,8.50000000,"4961,20230627",",8.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),96.05,2.26
145,112年06月16日,4994,傳奇,息,0.00000000,0.00000000,0.00000000,0.50000000,"4994,20230616",",0.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),14.07,0.40
146,112年07月04日,5285,界霖,息,0.00000000,0.00000000,0.00000000,3.50000000,"5285,20230704",",3.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),27.15,0.14
147,112年06月29日,5306,桂盟,息,0.00000000,0.00000000,0.00000000,2.25000000,"5306,20230629",",2.25000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),59.75,1.94
148,112年06月15日,5522,遠雄,息,0.00000000,0.00000000,0.00000000,3.00000000,"5522,20230615",",3.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),55.69,1.41
